book,chapter,clause_idx,sent_id,orig_pj,all_delta,christological_delta,kyrios_delta,patriarchal_delta,scripture_citation_delta,prophetic_delta,torah_law_delta,primary_driver,orig_text
2Tim,16,8,2Tim.16.2,0.7530,0.2624,0.2624,,,,,,christological,⸀συγκακοπάθησον ὡς καλὸς στρατιώτης ⸂Χριστοῦ Ἰησοῦ⸃.
Col,12,19,Col.12.4,0.5167,0.1484,0.1484,,,,,,christological,"Τῇ προσευχῇ προσκαρτερεῖτε, γρηγοροῦντες ἐν αὐτῇ ἐν εὐχαριστίᾳ, προσευχόμενοι ἅμα καὶ περὶ ἡμῶν, ἵνα ὁ θεὸς ἀνοίξῃ ἡμῖν θύραν τοῦ λόγου, λαλῆσαι τὸ μυστήριον τοῦ Χριστοῦ, δι’ ὃ καὶ δέδεμαι, ἵνα φανερώσω αὐτὸ ὡς δεῖ με λαλῆσαι."
Heb,19,28,Heb.19.12,0.5457,0.0804,,0.0804,,,,,kyrios,"οὔπω μέχρις αἵματος ἀντικατέστητε πρὸς τὴν ἁμαρτίαν ἀνταγωνιζόμενοι, καὶ ἐκλέλησθε τῆς παρακλήσεως, ἥτις ὑμῖν ὡς υἱοῖς διαλέγεται, Υἱέ μου, μὴ ὀλιγώρει παιδείας κυρίου, μηδὲ ἐκλύου ὑπ’ αὐτοῦ ἐλεγχόμενος·"
Jas,20,9,Jas.20.2,0.8480,0.4535,0.0690,0.4535,,,,,kyrios,"Ἀδελφοί μου, μὴ ἐν προσωπολημψίαις ἔχετε τὴν πίστιν τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ τῆς δόξης;"
John,4,178,John.4.4,0.5759,0.2143,0.2143,,,,,,christological,Ὡς οὖν ἔγνω ὁ ⸀Ἰησοῦς ὅτι ἤκουσαν οἱ Φαρισαῖοι ὅτι Ἰησοῦς πλείονας μαθητὰς ποιεῖ καὶ βαπτίζει ἢ Ἰωάννης— καίτοιγε Ἰησοῦς αὐτὸς οὐκ ἐβάπτιζεν ἀλλ’ οἱ μαθηταὶ αὐτοῦ— ἀφῆκεν τὴν Ἰουδαίαν καὶ ἀπῆλθεν ⸀πάλιν εἰς τὴν Γαλιλαίαν.
John,4,190,John.4.5,0.5515,0.0640,0.0640,,,,,,christological,"Μετὰ ταῦτα ⸀ἦν ἑορτὴ τῶν Ἰουδαίων, καὶ ⸀ἀνέβη Ἰησοῦς εἰς Ἱεροσόλυμα."
Luke,3,240,Luke.3.7,0.5777,0.0812,0.0812,,,,,,christological,"οἱ δὲ παραγενόμενοι πρὸς τὸν Ἰησοῦν παρεκάλουν αὐτὸν σπουδαίως λέγοντες ὅτι Ἄξιός ἐστιν ᾧ ⸀παρέξῃ τοῦτο, ἀγαπᾷ γὰρ τὸ ἔθνος ἡμῶν καὶ τὴν συναγωγὴν αὐτὸς ᾠκοδόμησεν ἡμῖν."
Matt,1,202,Matt.1.26,0.5026,0.1283,0.1283,,,,,,christological,"Τότε συνήχθησαν οἱ ⸀ἀρχιερεῖς καὶ οἱ πρεσβύτεροι τοῦ λαοῦ εἰς τὴν αὐλὴν τοῦ ἀρχιερέως τοῦ λεγομένου Καϊάφα, καὶ συνεβουλεύσαντο ἵνα τὸν Ἰησοῦν δόλῳ κρατήσωσιν καὶ ἀποκτείνωσιν·"
Matt,1,230,Matt.1.28,0.7361,0.3152,0.3152,,,,,,christological,"Μὴ φοβεῖσθε ὑμεῖς, οἶδα γὰρ ὅτι Ἰησοῦν τὸν ἐσταυρωμένον ζητεῖτε·"
Matt,1,304,Matt.1.8,0.5415,0.0686,,0.0686,,,,,kyrios,"Κύριε, οὐκ εἰμὶ ἱκανὸς ἵνα μου ὑπὸ τὴν στέγην εἰσέλθῃς·"
Phil,11,11,Phil.11.3,0.5670,0.1104,,,,0.1104,,,scripture_citation,"τὰ αὐτὰ γράφειν ὑμῖν ἐμοὶ μὲν οὐκ ὀκνηρόν, ὑμῖν δὲ ἀσφαλές."
Phil,11,17,Phil.11.3,0.7726,0.4706,0.4706,0.3020,,,,,christological,"ἀλλὰ ⸀μενοῦνγε καὶ ἡγοῦμαι πάντα ζημίαν εἶναι διὰ τὸ ὑπερέχον τῆς γνώσεως Χριστοῦ Ἰησοῦ τοῦ κυρίου μου δι’ ὃν τὰ πάντα ἐζημιώθην, καὶ ἡγοῦμαι ⸀σκύβαλα ἵνα Χριστὸν κερδήσω καὶ"
Rom,6,100,Rom.6.4,0.5408,0.1362,,,,,,0.1362,torah_law,Ὁ μακαρισμὸς οὖν οὗτος ἐπὶ τὴν περιτομὴν ἢ καὶ ἐπὶ τὴν ἀκροβυστίαν;
Rom,6,138,Rom.6.9,0.8653,0.4212,0.4212,,,,,,christological,"ηὐχόμην γὰρ ⸂ἀνάθεμα εἶναι αὐτὸς ἐγὼ⸃ ἀπὸ τοῦ Χριστοῦ ὑπὲρ τῶν ἀδελφῶν μου τῶν συγγενῶν μου κατὰ σάρκα, οἵτινές εἰσιν Ἰσραηλῖται, ὧν ἡ υἱοθεσία καὶ ἡ δόξα καὶ αἱ διαθῆκαι καὶ ἡ νομοθεσία καὶ ἡ λατρεία καὶ αἱ ἐπαγγελίαι, ὧν οἱ πατέρες, καὶ ἐξ ὧν ὁ χριστὸς τὸ κατὰ σάρκα, ὁ ὢν ἐπὶ πάντων, θεὸς εὐλογητὸς εἰς τοὺς αἰῶνας·"
